#,RAJ_decimal,DECJ_decimal,Gl,P0,BSURF
66,11.784,53.357,264.265,0.002405,289208517762.0
67,12.655,-41.77,188.285,0.003399,370265131067.0
68,0.223,64.101,133.213,0.004385,1019119955798.0
69,0.414,41.654,304.364,0.005139,867762177882.0
70,0.962,45.581,206.984,0.003177,533066677094.0
71,2.848,-54.99,120.023,0.005331,858491471209.0
72,6.715,34.867,126.31,0.002966,1451098435011.0
73,11.877,-2.689,215.603,0.004958,944321269512.0
74,8.673,32.597,136.795,0.002035,496503096819.0
75,7.176,52.308,278.268,0.005114,1127817467053.0
76,11.96,-61.846,113.518,0.005417,1552218349404.0
77,12.255,31.266,124.697,0.002536,621070845464.0
78,11.605,46.538,127.211,0.002479,1308572958452.0
79,2.337,-66.262,292.955,0.004272,62299819725.0
80,10.514,-17.491,162.569,0.004564,1269294232196.0
81,4.154,84.735,255.181,0.002902,124189387917.0
82,7.173,-23.774,193.517,0.002938,1255245567872.0
83,3.776,26.991,285.876,0.002527,488174340177.0
84,11.393,5.387,136.885,0.005005,628166709574.0
85,9.744,-68.18,280.036,0.004107,312275342759.0
86,4.505,9.725,275.016,0.004129,746307691934.0
87,8.754,-58.635,294.319,0.002176,1349687247889.0
88,1.918,-71.703,95.984,0.002029,1372470281923.0
89,3.62,47.174,128.697,0.00208,1470979524415.0
90,12.444,-71.904,284.216,0.004547,27121976266.0
91,12.072,-3.363,283.209,0.005782,495584366506.0
92,11.399,10.724,204.028,0.002713,659661345062.0
93,1.066,1.401,165.648,0.00578,659439192011.0
94,3.625,-21.909,101.614,0.002496,1379951941427.0
95,8.224,24.73,128.442,0.002784,1473765800152.0
96,14.177,-16.934,177.617,0.004473,1417990961472.0
97,8.627,-68.975,68.674,0.003274,96434288425.0
98,10.726,45.733,97.885,0.004213,1217362786194.0
99,2.731,-59.783,154.026,0.005258,752665726635.0
100,6.32,74.384,272.655,0.004474,696241394274.0
101,7.498,-64.176,96.787,0.004522,471537746341.0
102,5.081,30.83,169.083,0.003835,1499127195828.0
103,10.46,-7.526,251.759,0.002104,840143639398.0
104,12.848,57.165,142.025,0.003348,1291137641703.0
105,14.479,13.277,74.743,0.003633,1095340662517.0
106,9.259,83.776,163.063,0.002848,509637479527.0
107,12.331,39.973,286.259,0.005172,1066853751909.0
108,1.178,3.379,297.342,0.005585,403221687883.0
109,6.775,-51.2,296.333,0.00455,1011715287761.0
110,1.144,-7.503,144.33,0.004816,1201348623718.0
111,13.284,50.881,173.628,0.002124,1070244919587.0
112,5.235,-32.139,198.513,0.005872,488308469636.0
113,11.858,-26.893,255.888,0.004469,175083852405.0
114,8.63,48.439,281.475,0.005282,1168265167802.0
115,0.853,-44.352,163.37,0.00588,102446970628.0
116,0.969,-14.496,242.264,0.004102,1197479275982.0
117,1.087,-0.009,161.993,0.003727,86410116796.0
118,5.0,32.202,87.375,0.004997,744704967737.0
119,5.255,-8.233,252.236,0.00542,1445071586250.0
120,13.257,32.74,102.944,0.003732,86756914260.0
121,8.457,-22.212,156.347,0.003223,753781811378.0
122,12.19,-16.14,288.799,0.003253,991397502705.0
123,8.973,28.446,145.526,0.003894,1500636133066.0
124,6.527,76.179,205.512,0.003008,1180221577171.0
125,12.61,-29.094,232.016,0.005447,1108840777757.0
126,10.121,70.547,236.575,0.004379,137499809398.0
127,1.62,71.403,153.662,0.005358,645913139629.0
128,13.275,20.622,192.188,0.004502,846345038461.0
129,6.839,86.69,210.383,0.005188,664385122907.0
130,10.069,-38.574,100.156,0.00353,432513617042.0
131,12.552,57.415,213.274,0.004786,569690783678.0
132,5.877,-49.647,281.423,0.002538,39372679379.0
133,0.418,-16.833,275.185,0.005172,584775951414.0
134,10.607,64.272,189.53,0.002587,988637910492.0
135,0.881,39.004,289.752,0.005746,1444107117187.0
136,8.734,22.733,250.469,0.00349,478743043886.0
137,9.48,-8.135,112.211,0.004924,1316518210943.0
138,11.346,26.624,167.236,0.002197,1118670959991.0
139,11.303,71.219,286.062,0.003414,1133374263213.0
140,0.088,6.277,163.85,0.004854,1214237885804.0
141,7.716,-23.562,213.352,0.002145,198837449981.0
142,1.59,76.449,167.465,0.002803,203130481947.0
143,10.643,48.364,269.865,0.002404,1391188630968.0
144,5.632,4.293,84.657,0.005334,238769216093.0
145,12.968,-48.39,281.068,0.002719,1002029909436.0
146,11.683,-52.352,242.149,0.003334,100388784291.0
147,4.983,-0.072,135.634,0.002333,707130668644.0
148,7.607,-11.245,76.207,0.004837,1379274415153.0
149,10.714,77.804,158.948,0.005065,1183591735700.0
150,10.699,63.45,236.624,0.002099,423045695522.0
151,10.921,-13.693,215.999,0.003552,1450176246128.0
152,5.535,88.328,279.764,0.004096,1008873331084.0
153,12.697,51.037,236.592,0.002545,185677239138.0
154,12.219,-7.726,93.61,0.004438,122417069297.0
155,4.48,-1.884,187.811,0.004228,935951112399.0
156,2.279,77.393,243.961,0.002975,26285875994.0
157,3.088,-63.972,250.324,0.004111,956948554608.0
158,6.16,-38.541,136.326,0.003278,1075543252931.0
159,1.283,22.817,238.277,0.002625,1340420140326.0
160,14.239,64.786,239.202,0.002452,1379176581832.0
161,13.807,54.954,115.069,0.002641,102347310415.0
162,8.577,53.081,225.504,0.002052,1473381801162.0
163,6.391,-11.913,209.278,0.004325,198484054311.0
164,6.479,25.097,292.34,0.005724,1062987488870.0
165,11.408,89.643,274.682,0.002957,1063660507862.0
166,14.138,-68.677,220.521,0.005408,815637307511.0
167,0.244,83.296,130.437,0.003819,1098110327209.0
168,0.871,63.024,226.665,0.002902,955704326826.0
169,2.59,10.159,190.792,0.004737,1163878518483.0
170,10.067,-7.701,191.83,0.002773,1327767515682.0
171,4.969,-43.959,247.084,0.003407,1218538537813.0
172,13.029,79.463,170.786,0.0056,1411499475341.0
173,0.199,20.409,185.756,0.002609,496812327489.0
174,6.339,52.278,158.353,0.004379,1437224161369.0
175,6.978,-15.164,288.339,0.002461,1100271221002.0
176,12.673,-28.464,90.245,0.002975,751797237404.0
177,2.435,-29.388,130.47,0.003136,179211519671.0
178,10.487,-68.175,91.195,0.003112,1235304627520.0
179,7.146,44.545,234.872,0.005217,681939451592.0
180,1.057,-6.769,168.755,0.002573,949402367091.0
181,10.692,-60.027,274.025,0.004915,1370741420201.0
182,4.947,31.653,190.129,0.002974,1021086818671.0
183,10.642,-11.866,127.405,0.005583,1479181700480.0
184,14.275,-61.161,240.105,0.003266,728014771354.0
185,11.45,39.195,286.504,0.003472,100277444205.0
186,5.361,7.946,191.687,0.004826,798214592308.0
187,1.086,-23.167,219.913,0.005003,159768519910.0
188,4.168,-10.41,251.211,0.00489,139352680900.0
189,5.802,5.324,184.948,0.00497,1478776929036.0
190,4.939,41.516,250.321,0.005605,1212689190392.0
191,3.491,86.794,209.087,0.002521,51687920905.0
192,10.146,-0.691,89.957,0.003484,129024246493.0
193,7.381,78.555,135.927,0.002973,970060198581.0
194,6.498,-60.088,223.91,0.005605,515780093392.0
195,3.587,-13.819,145.529,0.005344,447526138803.0
196,9.091,-57.374,112.369,0.005997,563998587863.0
197,11.504,-31.834,90.675,0.004214,828237304112.0
198,2.917,87.07,285.468,0.003142,1470941483201.0
199,12.296,83.844,274.141,0.003663,837432804247.0
200,12.179,24.45,104.384,0.003975,120944497846.0
201,10.868,-9.05,152.581,0.004218,55926304053.0
202,4.529,-4.387,215.106,0.00554,895576451246.0
203,8.176,28.513,96.02,0.003524,1212188329602.0
204,12.349,-51.482,111.273,0.005774,885767628382.0
205,7.044,-70.746,118.586,0.002317,1240197908896.0
206,1.879,57.837,71.491,0.00273,1320341759250.0
207,12.856,76.099,168.344,0.004001,765761689217.0
208,4.607,-33.52,158.216,0.003449,65546075279.0
209,8.329,-43.858,95.153,0.00313,684105923915.0
210,11.112,-52.316,210.979,0.004627,1165769498533.0
211,13.875,-52.251,82.075,0.004746,1341864391537.0
212,8.915,62.034,166.966,0.005056,1263174281481.0
213,12.986,79.51,128.184,0.00367,611675849080.0
214,1.035,-11.995,225.112,0.002513,907411433631.0
215,11.217,62.523,127.721,0.005611,589473594578.0
216,8.37,23.607,187.541,0.002917,599479790328.0
217,10.514,50.8,135.11,0.005808,129264893874.0
218,11.792,18.557,145.305,0.005053,663395411428.0
219,12.18,2.693,113.69,0.002013,697792908694.0
220,4.553,-70.506,143.644,0.005843,588064170517.0
221,0.068,-39.223,118.885,0.004238,900615174913.0
222,0.512,43.626,200.81,0.00494,1437839839787.0
223,6.236,19.149,130.256,0.004657,1361022480602.0
224,2.762,-43.05,269.681,0.002407,1083009239520.0
225,5.277,-44.538,200.314,0.0025,1400261574204.0
226,8.097,-70.696,234.497,0.005781,818099125448.0
227,9.218,56.192,190.408,0.003996,147671739713.0
228,1.842,-36.426,117.082,0.002678,186875913780.0
229,8.23,-20.482,122.851,0.003305,514359083081.0
230,4.508,-35.179,234.165,0.005194,210377776577.0
231,10.164,-62.41,174.253,0.004474,455450667705.0
232,5.688,-24.319,114.663,0.004355,754302201926.0
233,2.899,18.088,170.405,0.004056,1225712006140.0
234,10.473,-15.24,144.78,0.005786,1146653313827.0
235,3.76,-27.08,136.124,0.004556,747593314743.0
236,9.354,-45.553,273.276,0.003501,548046398778.0
237,6.146,39.286,96.968,0.004866,1019914136193.0
238,9.599,46.622,222.232,0.005606,1346884907983.0
239,4.125,11.383,107.891,0.005984,1303378350353.0
240,8.847,53.767,154.272,0.004475,909742047880.0
241,13.606,22.915,83.03,0.004581,319500753652.0
242,8.953,-56.554,85.687,0.00379,1375025443117.0
243,6.267,75.473,231.69,0.004143,1520125412837.0
244,4.487,75.378,170.957,0.004179,1304347081144.0
245,6.089,25.827,303.989,0.005388,138599866820.0
246,3.084,-18.486,263.167,0.005691,310223131780.0
247,7.027,58.355,114.772,0.004223,885142597946.0
248,7.807,40.114,229.73,0.004634,1328053671425.0
249,11.245,20.604,158.552,0.003147,1073772269083.0
250,2.723,22.025,247.199,0.005748,1440196726943.0
251,6.881,73.967,212.115,0.00417,1171711672609.0
252,6.592,37.649,114.003,0.005405,53360160368.0
253,3.802,81.673,153.72,0.004364,288228417485.0
254,5.02,62.546,139.041,0.004784,1285033671954.0
255,2.785,-17.436,82.523,0.002119,77951937062.0
256,10.751,-6.478,248.833,0.003125,203417066730.0
257,12.017,-45.185,78.966,0.00238,351768044234.0
258,11.978,29.646,139.474,0.003316,1394194984176.0
259,9.778,-3.784,223.777,0.005681,1385252247062.0
260,10.441,55.853,93.987,0.005949,1252168846362.0
261,1.448,-17.852,190.161,0.004999,570214567682.0
262,2.419,4.897,119.29,0.005459,1123024462456.0
263,5.025,79.988,116.336,0.003694,1249256802205.0
264,1.541,-50.93,165.94,0.005681,673875705847.0
265,1.943,38.424,248.844,0.004237,820257657663.0
266,6.288,40.201,210.496,0.0021,1545504708958.0
267,1.993,-68.863,72.424,0.003835,438190791404.0
268,10.08,-5.178,250.193,0.00522,532349149428.0
269,14.062,62.431,296.429,0.002207,816400889330.0
270,5.56,85.122,184.284,0.002616,528445434414.0
271,2.889,-48.791,111.163,0.005036,1151290944638.0
272,11.472,-24.715,190.045,0.003,1224870908002.0
273,2.005,77.3,278.172,0.00227,1409329704649.0
274,4.114,83.698,232.434,0.003488,870256796034.0
275,10.159,-1.338,245.655,0.002707,911705109841.0
276,14.105,48.555,135.496,0.002429,779527950486.0
277,8.143,-48.519,79.283,0.004745,501027807596.0
278,2.982,49.647,83.292,0.004502,49919808984.0
279,5.375,74.307,229.56,0.002073,860177066174.0
280,11.694,2.307,287.45,0.004142,255976503790.0
281,14.456,39.385,252.809,0.005522,1443378052646.0
282,8.827,-58.193,194.114,0.004381,1423741679994.0
283,5.647,0.567,180.259,0.002335,249173990666.0
284,3.5,-45.688,124.416,0.0031,1176588455127.0
285,0.496,-45.59,282.234,0.002432,774755993279.0
286,9.025,40.568,243.838,0.003462,1451695028363.0
287,0.029,-27.01,104.697,0.004655,605560982449.0
288,13.425,79.479,149.729,0.00216,1013303375856.0
289,7.331,83.326,96.306,0.003929,291943117592.0
290,6.153,61.788,75.761,0.002543,947459265375.0
291,9.306,18.349,165.573,0.004386,542189785606.0
292,13.057,38.958,103.938,0.004526,908192308523.0
293,10.577,-54.296,77.136,0.00284,1282071134056.0
294,0.777,3.392,113.256,0.003184,1036971979655.0
295,11.706,-54.982,204.898,0.004232,660734920126.0
296,4.267,45.18,295.108,0.002747,1536402779487.0
297,11.088,-50.637,223.912,0.003054,320034307734.0
298,3.207,72.585,250.309,0.004388,542796838640.0
299,1.675,-68.042,192.541,0.003174,706432395798.0
300,10.308,-16.251,191.396,0.003071,1458146132295.0
301,3.355,45.439,208.273,0.004213,385190911962.0
302,11.359,4.17,90.906,0.003707,655488904565.0
303,9.274,-20.039,105.417,0.005509,1468115691894.0
304,11.946,-34.207,269.194,0.004636,901105792348.0
305,5.899,3.182,95.929,0.002367,42737260577.0
306,12.003,83.089,125.56,0.005382,1158612768565.0
307,9.365,65.815,111.467,0.002551,962819940215.0
308,6.431,4.179,214.377,0.005022,125010512464.0
309,0.053,-45.981,161.948,0.002387,613605124357.0
310,4.669,79.825,204.058,0.004078,60118703052.0
311,1.901,25.534,98.105,0.00426,767782133133.0
312,7.952,6.874,234.387,0.002484,719508058355.0
313,0.252,85.999,137.411,0.00529,765776920967.0
314,6.936,18.479,195.025,0.002017,1180637449702.0
315,10.511,-52.978,280.776,0.00584,1125358610659.0
316,7.865,-49.658,262.754,0.002939,757410163765.0
317,6.551,85.122,301.849,0.002592,1473198919017.0
318,11.961,45.26,207.502,0.005118,1521719829208.0
319,4.455,-53.594,266.071,0.005814,1488977104291.0
320,5.231,-55.942,232.961,0.004213,923157224999.0
321,9.435,10.659,129.453,0.002342,490378144778.0
322,9.894,-38.523,174.028,0.002972,484953904558.0
323,11.588,12.178,147.835,0.003375,1508334438936.0
324,5.144,-10.225,178.258,0.002027,410571984279.0
325,8.162,-60.701,276.06,0.004363,851874708927.0
326,4.887,37.507,251.661,0.003846,1092040942077.0
327,4.198,58.066,182.196,0.004341,234458002710.0
328,8.958,1.11,188.134,0.005449,522868126433.0
329,2.143,-12.353,277.815,0.002414,161432402868.0
330,9.104,81.465,195.312,0.004909,775378745137.0
331,8.515,6.13,184.177,0.00212,949453665759.0
332,10.638,46.909,266.064,0.005983,1097095673022.0
333,12.56,66.69,229.327,0.005781,1080569981995.0
334,11.175,7.519,212.865,0.00576,1214427480043.0
335,14.136,87.611,119.578,0.002685,1341886045169.0
336,1.532,-66.796,248.515,0.002281,1385652760925.0
337,10.96,-15.267,212.497,0.003719,709950857673.0
338,11.888,-44.926,145.625,0.002476,464560720288.0
339,9.423,76.426,115.049,0.004957,998041517340.0
340,3.217,80.168,87.569,0.002983,1435424519533.0
341,1.304,-30.397,145.643,0.003116,913944685085.0
342,11.471,-29.412,298.012,0.003408,26591711706.0
343,5.736,-66.204,212.791,0.003897,1122681841381.0
344,8.162,40.307,199.479,0.004501,222297904101.0
345,13.41,-35.443,238.692,0.004222,1117137546766.0
346,13.334,32.4,148.158,0.002302,479734024217.0
347,2.17,-69.493,173.06,0.003667,280407309699.0
348,13.305,-20.927,233.302,0.005574,59491519667.0
349,13.962,-22.396,247.884,0.005544,824511963177.0
350,1.811,-51.979,239.164,0.002461,1413638593504.0
351,10.846,14.154,107.415,0.002909,1409006978999.0
352,2.25,73.663,238.791,0.005445,1380760360786.0
353,1.498,-12.459,185.549,0.005047,96790867433.0
354,9.48,43.518,243.829,0.002404,1014214808791.0
355,8.897,-7.586,152.854,0.005218,1453396830627.0
356,9.431,-14.139,206.307,0.004527,874977052329.0
357,2.506,-62.706,71.264,0.004129,1236007817436.0
358,2.923,-31.984,259.553,0.002632,634363740447.0
359,5.876,72.977,90.03,0.003412,331308832824.0
360,8.901,57.604,301.133,0.004161,721086265915.0
361,14.453,15.864,219.896,0.004297,1567328918613.0
362,0.707,-49.051,249.637,0.005928,462096636154.0
363,8.503,2.305,286.778,0.005028,1158299628555.0
364,2.038,36.631,128.948,0.003889,1487914539618.0
365,5.12,-32.667,224.377,0.004756,248576073230.0
366,6.312,27.061,247.106,0.002903,1492338858601.0
367,11.148,-45.393,263.05,0.002917,567196233106.0
368,9.082,-9.851,116.88,0.005843,771170440460.0
369,5.473,-38.884,163.18,0.002192,1517502964989.0
370,10.346,73.431,217.251,0.005044,243214741713.0
371,11.657,21.727,92.145,0.003142,927805892789.0
372,12.041,-1.558,68.471,0.002628,1348036469703.0
373,0.014,70.529,213.831,0.005319,465646848675.0
374,12.14,87.993,240.568,0.005438,1143843706856.0
375,7.64,46.569,130.063,0.005631,95547401425.0
376,11.029,-10.916,136.795,0.004386,1221810271621.0
377,4.41,-7.011,102.8,0.005846,851368558962.0
378,4.771,69.669,150.176,0.005991,1173161999194.0
379,12.249,79.289,226.667,0.003022,234427558651.0
380,9.747,-16.197,237.775,0.002425,438088308757.0
381,11.363,62.898,147.545,0.005914,388806748418.0
382,2.287,8.413,210.92,0.003922,1456692227388.0
383,3.112,14.829,105.999,0.003101,656874092180.0
384,5.692,37.503,91.107,0.003693,1199324578988.0
385,11.28,73.153,282.936,0.003651,1278258183040.0
386,13.405,3.625,117.176,0.005311,1549259905377.0
387,1.82,-73.49,121.657,0.004142,72115244567.0
388,5.72,51.184,258.82,0.003808,1223512477562.0
389,14.231,54.297,125.374,0.003728,1067670877818.0
390,12.367,-30.23,300.234,0.005954,49460292263.0
391,3.641,28.146,170.554,0.004014,278037728230.0
392,5.985,53.875,74.442,0.004079,1155631729100.0
393,7.531,88.062,68.084,0.004975,162776227219.0
394,8.649,8.398,84.599,0.005698,116802308478.0
395,11.989,48.202,271.766,0.005755,301256676112.0
396,9.952,-64.176,144.681,0.002595,1025994862093.0
397,4.511,72.718,115.593,0.002477,1341264982153.0
398,2.761,-2.852,220.509,0.004029,420681159185.0
399,0.315,-60.216,201.758,0.003085,1541230868414.0
400,8.631,10.355,146.878,0.002745,240522778349.0
401,0.276,2.394,72.262,0.005819,177789908726.0
402,4.336,-43.339,293.609,0.003521,1317022248890.0
403,4.48,26.386,235.435,0.003465,649055888612.0
404,7.583,-26.225,274.496,0.002011,771632396272.0
405,12.709,0.779,109.874,0.004082,674510490671.0
406,13.417,-48.905,302.47,0.004008,849036133440.0
407,11.505,-21.005,297.375,0.004611,324458991815.0
408,3.311,12.933,267.841,0.002229,874876621023.0
409,8.41,48.457,80.671,0.004522,434842532502.0
410,11.088,64.104,180.578,0.004342,450375793220.0
411,8.422,-27.244,282.49,0.002917,1003807846569.0
412,13.593,-20.211,178.392,0.004371,1539499875723.0
413,12.293,29.958,77.26,0.003006,1163379061579.0
414,7.966,46.737,259.097,0.002198,639321403976.0
415,6.542,5.605,170.573,0.0034,537358412356.0
416,4.154,22.739,235.658,0.003188,1177360876942.0
417,7.429,-9.649,150.947,0.002596,1275697339098.0
418,12.632,59.826,291.205,0.004835,275068277145.0
419,5.881,10.894,81.324,0.003561,1261447623954.0
420,8.046,-67.011,171.081,0.002105,1297046281033.0
421,5.94,5.117,178.083,0.004889,234530922547.0
422,9.402,-50.434,282.787,0.003235,1405426623501.0
423,11.909,-49.143,232.256,0.003191,584794397405.0
424,0.851,-22.265,129.4,0.003531,464213360218.0
425,1.078,37.041,88.308,0.004816,674164632449.0
426,8.591,-50.725,138.603,0.004508,663400665326.0
427,0.068,31.22,169.291,0.005462,1160159216604.0
428,13.145,-6.435,131.353,0.004911,983606292472.0
429,4.85,52.592,234.929,0.002233,1197305156511.0
430,8.264,-50.587,287.701,0.003356,581761369290.0
431,2.167,66.888,266.778,0.003954,756510433932.0
432,7.916,-50.776,240.634,0.003609,885296751863.0
433,12.776,52.255,187.772,0.004732,174397071055.0
434,10.285,-11.748,203.383,0.002095,1143815572511.0
435,14.27,-57.236,258.721,0.002437,1272131033048.0
436,0.115,47.256,289.275,0.005241,705179113533.0
437,5.986,-21.732,74.624,0.004377,1483036014711.0
438,9.61,-1.58,163.604,0.005953,719022124748.0
439,10.993,-43.844,99.244,0.002759,291041447748.0
440,13.747,-40.881,152.66,0.004196,417466983975.0
441,13.652,75.851,260.028,0.005639,715310154352.0
442,10.621,-52.13,168.714,0.002942,1152773687722.0
443,13.881,44.381,281.595,0.00349,1382084493189.0
444,6.112,59.156,139.238,0.002782,32082926307.0
445,10.339,24.613,69.219,0.002226,1073111430552.0
446,5.698,87.875,127.754,0.004184,1090227932866.0
447,7.563,2.091,180.712,0.00403,1129664800037.0
448,4.513,6.17,89.754,0.003698,153787040932.0
449,4.746,-24.402,203.423,0.004861,342568001713.0
450,9.601,-65.146,263.176,0.003476,849419838553.0
451,12.486,15.344,192.995,0.002619,594966656076.0
452,13.454,2.696,120.081,0.005486,1116212268405.0
453,4.257,-50.317,192.975,0.003219,889580358500.0
454,3.083,-58.367,79.049,0.002975,942517030616.0
455,2.105,65.829,118.631,0.002534,273007229414.0
456,9.021,-44.341,207.006,0.002964,156900408564.0
457,7.972,-73.377,284.858,0.003706,972720321032.0
458,12.541,68.259,127.4,0.004393,382830897331.0
459,2.262,37.789,279.548,0.003488,722491460394.0
460,8.592,0.989,299.393,0.003341,11615111128.0
461,8.622,7.97,125.543,0.004162,1268142279768.0
462,9.674,84.48,71.311,0.003511,1490316849217.0
463,6.613,49.131,280.582,0.004097,863675900865.0
464,3.224,-29.293,270.592,0.005994,1497599674877.0
465,5.196,50.759,156.341,0.005875,164836956538.0
466,10.37,77.871,174.925,0.005408,1150571860599.0
467,0.502,-13.991,181.311,0.003082,828463774247.0
468,5.006,-34.264,84.398,0.003081,548751466232.0
469,3.49,-41.574,246.861,0.004834,589270620002.0
470,9.847,-15.165,177.902,0.00274,869943907696.0
471,8.482,21.902,134.067,0.004507,584344639821.0
472,10.78,18.943,181.385,0.003816,109887403588.0
473,1.538,-69.174,215.054,0.00471,1902231377.0
474,0.916,-64.403,155.239,0.005007,1429592616271.0
475,8.485,-11.171,221.534,0.005464,706834790397.0
476,5.184,82.408,75.688,0.00489,1396672915775.0
477,0.644,-52.407,152.616,0.002428,916906935841.0
478,9.52,44.344,79.959,0.005468,64359736171.0
479,8.585,77.482,71.616,0.004559,1196770148486.0
480,6.041,57.811,132.694,0.002942,224953198588.0
481,1.297,-8.861,248.844,0.003636,125488347552.0
482,7.879,89.614,169.307,0.00222,497831212391.0
483,11.683,-29.793,213.752,0.002311,534287494467.0
484,7.246,48.314,245.562,0.002921,1025215431893.0
485,1.304,-61.128,117.376,0.004298,879326111984.0
486,11.506,36.022,113.257,0.003197,1466246628298.0
487,4.256,55.504,261.483,0.004488,357294380185.0
488,12.775,25.579,130.895,0.002087,387355258214.0
489,5.033,-53.331,76.793,0.002076,376294784700.0
490,13.707,37.674,211.502,0.003926,675750860002.0
491,13.572,-25.555,262.502,0.005985,912186391409.0
492,11.76,-65.895,80.889,0.002311,1162591682170.0
493,11.948,3.349,123.169,0.0026,850907055613.0
494,5.704,-38.114,283.943,0.002323,788475488655.0
495,13.204,-17.955,189.942,0.004837,253678247131.0
496,10.569,9.448,107.06,0.003288,973906814303.0
497,5.455,-25.879,244.649,0.005,1040718005569.0
498,11.253,-23.205,267.347,0.003171,986374980415.0
499,8.228,86.216,109.703,0.005178,1400959607375.0
500,3.554,-28.193,268.848,0.004665,389211596363.0
501,13.272,60.022,259.566,0.00419,71776672816.0
502,7.263,56.37,256.776,0.003971,1395338141583.0
503,0.304,79.056,286.065,0.004504,1504039101667.0
504,9.579,-68.762,99.031,0.004683,1519385864714.0
505,8.639,38.689,91.064,0.003202,1111406434367.0
506,1.2,56.391,94.808,0.002416,995607241634.0
507,10.097,-9.985,89.99,0.002532,229056721238.0
508,12.658,-34.175,123.329,0.004697,869821705859.0
509,4.122,-36.817,236.117,0.003487,1361742478543.0
510,1.773,-6.925,191.228,0.002791,158022518299.0
511,8.18,-53.019,74.058,0.005877,819027770554.0
512,7.829,69.567,288.303,0.005136,68466798351.0
513,3.003,-55.17,68.757,0.002726,829962648307.0
514,1.239,51.778,75.696,0.005762,71820917921.0
515,10.263,36.782,77.39,0.005973,984901711164.0
516,1.708,80.049,129.272,0.00215,559254004134.0
517,14.387,-15.362,281.157,0.00462,374467155317.0
518,0.304,-43.632,245.245,0.002203,73536874197.0
519,4.425,-57.278,284.233,0.002584,741092801107.0
